I_CategCaras,Train_CategCaras_img_file,Train_CategCaras_Type_img,Trials_Instr_CategCaras.thisRepN,Trials_Instr_CategCaras.thisTrialN,Trials_Instr_CategCaras.thisN,Trials_Instr_CategCaras.thisIndex,Trials_Train_CategCaras.thisRepN,Trials_Train_CategCaras.thisTrialN,Trials_Train_CategCaras.thisN,Trials_Train_CategCaras.thisIndex,Instr_CategCaras_text.started,Instr_CategCaras_text.stopped,Next_button_CategCaras_image.started,Next_button_CategCaras_image.stopped,Instr_CategCaras_mouse.x,Instr_CategCaras_mouse.y,Instr_CategCaras_mouse.leftButton,Instr_CategCaras_mouse.midButton,Instr_CategCaras_mouse.rightButton,Instr_CategCaras_mouse.clicked_name,Instr_CategCaras_mouse.started,Instr_CategCaras_mouse.stopped,FruitVeg_image.started,FruitVeg_image.stopped,Train_CategCaras.RT,Train_CategCaras.FingerJump,Train_CategCaras.MT,Train_CategCaras_mouse.x,Train_CategCaras_mouse.y,Train_CategCaras_mouse.leftButton,Train_CategCaras_mouse.midButton,Train_CategCaras_mouse.rightButton,Train_CategCaras_mouse.time,Train_CategCaras_mouse.started,Train_CategCaras_mouse.stopped,Train_CategCaras_Beh_mouse.x,Train_CategCaras_Beh_mouse.y,Train_CategCaras_Beh_mouse.leftButton,Train_CategCaras_Beh_mouse.midButton,Train_CategCaras_Beh_mouse.rightButton,Train_CategCaras_Beh_mouse.time,Train_CategCaras_Beh_mouse.started,Train_CategCaras_Beh_mouse.stopped,Train_CategCaras_Izq_polygon.started,Train_CategCaras_Izq_polygon.stopped,Train_CategCaras_Der_polygon.started,Train_CategCaras_Der_polygon.stopped,Train_CategCaras_Inferior_polygon.started,Train_CategCaras_Inferior_polygon.stopped,Train_CategCaras_Male_text.started,Train_CategCaras_Male_text.stopped,Train_CategCaras_Female_text.started,Train_CategCaras_Female_text.stopped,NoLiftFinger_Warning_text.started,NoLiftFinger_Warning_text.stopped,Train_CategCaras.Response,Cedula,date,expName,psychopyVersion,frameRate,
"Va a ver una imagen en pantalla. Tiene que escoger si es de categoria A o B.
Empecemos con un entrenamiento. 
Oprima la flecha para continuar. ",,,0,0,0,0,,,,,9.76155649998691,None,9.76155649998691,None,0.7852631578947369,-0.7075471698113207,1,0,0,Next_button_CategCaras_image,0.004082110011950135,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Jul_07_1625,YOUNSTE,2021.1.4,None,
"En el entrenamiento va a ver la imagen de  una fruta o verdura, la cual estara poco tiempo en pantalla.
Oprima la flecha para continuar. ",,,0,1,1,1,,,,,10.612473799963482,None,10.612473799963482,None,0.7852631578947369,-0.7075471698113207,1,0,0,Next_button_CategCaras_image,0.005042769946157932,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Jul_07_1625,YOUNSTE,2021.1.4,None,
"Cuando desaparezca la imagen saldra un cuadrado en la parte inferior de la pantalla. 
Ponga su dedo o mouse sobre ese cuadrado para ver las opciones FRUTA y VERDURA. Tiene que decidir si la imagen que vio era FRUTA o VERDURA.
Oprima la flecha para continuar.",,,0,2,2,2,,,,,11.462648199987598,None,11.462648199987598,None,0.7852631578947369,-0.7075471698113207,1,0,0,Next_button_CategCaras_image,0.0023356700548902154,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Jul_07_1625,YOUNSTE,2021.1.4,None,
"Si esta en una pantalla tactil, desplace su dedo sobre la pantalla desde el cuadrado inferior hacía la opcion escogida.
Oprima la flecha para empezar el ENTRENAMIENTO",,,0,3,3,3,,,,,12.146615999983624,None,12.146615999983624,None,0.7852631578947369,-0.7075471698113207,1,0,0,Next_button_CategCaras_image,0.006163469981402159,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Jul_07_1625,YOUNSTE,2021.1.4,None,
